livingAreaSqFt,numOfBathrooms,lotSizeSqFt,numOfBedrooms,numOfStories,numOfPhotos,hasSpa,hasView,numOfPatioAndPorchFeatures,numOfParkingFeatures,latest_saleyear,numOfSecurityFeatures,latestPrice
2601.0,3.0,6011.0,4,2,39,False,False,1,2,2019,2,305000.00
1768.0,2.0,6185.0,4,1,29,False,False,0,2,2020,0,295000.00
1478.0,2.0,7840.0,3,1,2,False,False,0,1,2019,1,256125.00
1678.0,2.0,6098.0,3,1,9,False,False,0,2,2018,0,240000.00
2132.0,3.0,6708.0,3,2,27,False,False,0,1,2018,0,239900.00
1446.0,2.0,5161.0,3,1,2,False,False,2,1,2020,2,309045.00
2432.0,3.0,12196.8,4,2,36,False,False,0,1,2020,0,315000.00
1422.0,3.0,5140.0,3,2,21,False,False,0,1,2018,0,219900.00
1870.0,2.0,3811.0,3,2,16,False,False,1,1,2019,1,225000.00
1422.0,3.0,5183.0,3,2,23,False,False,0,2,2018,0,194800.00
1580.0,2.0,5401.0,3,1,32,False,False,0,2,2020,2,279900.00
2281.0,3.0,4965.0,3,2,37,False,False,0,1,2019,0,250000.00
1762.0,2.0,6011.0,4,1,28,False,True,1,2,2020,0,239900.00
1326.0,2.0,6926.0,3,1,16,False,False,0,1,2018,0,200000.00
1655.0,3.0,10846.0,3,2,54,False,False,1,2,2020,1,131679.00
1228.0,2.0,6621.0,3,1,25,False,False,3,2,2020,1,200000.00
1752.0,2.0,10802.0,4,1,26,False,False,0,2,2019,0,212000.00
4043.0,4.0,10672.0,5,2,40,False,False,0,2,2018,0,687850.00
3233.0,4.0,9060.0,5,2,31,False,True,0,3,2018,0,409000.00
1511.0,2.0,7448.0,3,1,21,False,False,1,2,2020,0,199000.00
2228.0,2.0,7666.0,3,1,20,False,False,0,2,2020,0,400000.00
4020.0,4.0,10890.0,4,2,36,False,False,2,2,2020,0,699000.00
3494.0,4.0,8494.0,4,2,72,False,False,0,3,2018,0,549900.00
1216.0,4.0,28314.0,5,1,27,False,False,0,2,2019,0,350000.00
1534.0,3.0,5183.0,3,1,10,False,False,2,2,2020,0,240000.00
1738.0,2.0,7405.0,3,1,35,False,False,1,2,2020,1,249900.00
2630.0,3.0,12196.8,5,2,21,False,False,2,3,2020,1,400000.00
1652.0,2.0,8145.0,3,1,33,False,False,0,2,2018,0,200000.00
3402.0,4.0,28314.0,4,2,38,False,True,3,2,2020,1,875000.00
2350.0,2.0,28314.0,3,1,29,False,False,2,2,2020,2,164995.00
1634.0,2.0,6141.0,3,1,40,False,False,0,2,2019,0,287500.00
3047.0,4.0,8363.0,4,1,1,False,False,1,3,2020,0,650000.00
1399.0,2.0,5532.0,3,1,29,False,False,0,1,2019,0,196000.00
1264.0,2.0,28314.0,3,1,35,False,False,0,0,2018,0,239999.00
3573.0,4.0,28314.0,4,2,37,False,False,1,1,2019,2,830000.00
2035.0,3.0,6229.0,3,2,24,False,False,0,1,2019,1,219990.00
1304.0,2.0,6751.0,3,1,26,False,False,0,1,2019,0,195000.00
4043.0,4.0,28314.0,5,2,40,True,True,0,2,2018,0,1150000.00
1907.0,3.0,7100.0,3,2,31,False,False,0,2,2018,0,309999.00
2484.0,3.0,10890.0,4,2,8,False,False,2,2,2020,2,427000.00
2088.0,3.0,4399.0,4,1,24,False,False,0,1,2018,0,205000.00
2100.0,3.0,28314.0,4,1,31,False,False,0,0,2018,0,300000.00
2134.0,3.0,6786.0,3,2,41,False,True,2,2,2019,0,344600.00
4043.0,4.0,28314.0,5,1,56,True,True,3,3,2020,0,1150000.00
2629.0,3.0,8537.0,3,1,40,False,False,1,2,2020,2,399900.00
2567.0,3.0,11325.6,4,2,50,True,False,2,2,2020,2,648000.00
1420.0,2.0,7797.0,3,1,6,False,False,0,1,2018,0,186500.00
1267.0,2.0,4617.0,3,1,28,False,False,1,2,2020,1,219000.00
1194.0,2.0,5924.0,3,1,25,False,False,0,1,2018,0,179900.00
2142.0,2.0,5619.0,3,1,28,False,False,2,2,2020,1,405000.00
4043.0,4.0,28314.0,5,2,40,False,True,0,3,2019,0,1150000.00
2169.0,3.0,28314.0,3,2,25,False,True,3,1,2019,2,565000.00
1296.0,2.0,5445.0,3,1,9,False,False,0,1,2019,0,194098.00
2570.0,3.0,6098.0,4,2,22,False,False,0,2,2019,0,255700.00
3140.0,3.0,9147.0,5,2,1,False,False,0,1,2019,0,495000.00
2068.0,3.0,6141.0,4,2,67,False,False,1,2,2020,1,325000.00
2736.0,2.0,28314.0,4,1,31,False,False,2,2,2020,0,250000.00
1807.0,2.0,5749.0,4,1,27,False,True,1,2,2020,1,198500.00
2956.0,3.0,8624.0,5,1,60,False,True,1,2,2020,1,485000.00
4043.0,4.0,28314.0,5,3,43,True,True,0,2,2020,0,1150000.00
2595.0,3.0,5536.0,5,2,31,False,False,1,3,2020,2,440000.00
1420.0,2.0,9626.0,3,1,19,False,False,0,1,2019,0,225000.00
1929.0,2.0,5314.0,3,1,26,False,True,0,2,2018,0,207900.00
2170.0,2.0,14810.4,4,1,23,True,False,1,2,2021,0,575000.00
1592.0,3.0,6969.0,3,2,30,False,False,0,1,2019,1,200000.00
3837.0,4.0,12632.4,5,2,40,False,False,1,2,2019,0,675000.00
3450.0,4.0,28314.0,4,1,36,False,False,0,1,2018,0,1150000.00
1239.0,2.0,16552.8,3,1,19,False,False,0,3,2019,0,259000.00
1449.0,2.0,5488.0,3,1,40,False,False,0,1,2020,0,275000.00
1335.0,2.0,5227.0,3,1,18,False,False,1,1,2019,0,199999.00
1514.0,2.0,4800.0,3,1,1,False,False,0,1,2020,1,268729.00
3111.0,3.0,15681.6,4,1,30,False,False,1,2,2019,0,625000.00
3113.0,3.0,8973.0,4,2,65,False,False,2,2,2020,0,435000.00
1973.0,3.0,5662.0,3,2,1,False,False,0,1,2018,0,285000.00
1487.0,2.0,3963.0,2,1,26,False,False,0,1,2019,0,399900.00
1370.0,2.0,5749.0,3,1,27,False,False,0,1,2019,0,215000.00
3055.0,4.0,7666.0,4,2,67,False,False,1,2,2020,2,519500.00
2283.0,3.0,6368.0,4,2,14,False,False,0,1,2018,0,450000.00
3115.0,3.0,9539.0,4,2,37,False,False,0,1,2018,0,463700.00
1419.0,2.0,5558.0,3,1,23,False,False,0,2,2020,0,209900.00
